"title","debut_date","order_id","first_100","first_200","first_300","first_400","first_500","first_600","first_700","first_800","first_900","first_1000","first_1100","first_1200","first_1300","first_1400","first_1500","first_1600","first_1700"
"46 Days","2002-12-14",1115,"14","20","22","29","23","2","0","0","0","0","0","0","0","0","0","0","0"
"555","2013-10-31",1395,"31","17","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A Day in the Life","1995-06-10",695,"27","14","3","0","4","8","7","4","4","1","0","0","0","0","0","0","0"
"A Song I Heard the Ocean Sing","2004-06-17",1166,"5","3","14","11","5","0","0","0","0","0","0","0","0","0","0","0","0"
"AC/DC Bag","1986-04-01",11,"57","49","17","4","5","11","13","25","14","11","11","17","22","16","11","9","2"
"Acoustic Army","1995-06-07",692,"27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alaska","2009-06-09",1191,"18","14","2","4","2","0","0","0","0","0","0","0","0","0","0","0","0"
"All Things Reconsidered","1991-09-25",305,"25","29","14","5","1","5","0","0","0","0","0","0","0","0","0","0","0"
"Also Sprach Zarathustra","1993-07-16",531,"34","21","22","21","19","16","22","23","19","16","19","0","0","0","0","0","0"
"Alumni Blues","1985-10-30",7,"42","12","2","0","0","1","1","0","0","0","1","0","4","6","2","4","2"
"Alumni Blues > Letter to Jimmy Page > Alumni Blues","1985-10-17",6,"28","13","7","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Amazing Grace","1993-02-03",458,"44","23","22","8","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Avenu Malkenu","1987-05-11",23,"13","6","11","7","6","4","6","0","3","2","2","2","0","0","1","1","0"
"Axilla","1992-11-19",434,"19","2","1","4","7","13","9","7","16","11","10","7","0","0","0","0","0"
"Axilla (Part II)","1994-04-16",577,"31","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Back on the Train","1999-06-30",995,"37","12","17","22","22","11","7","0","0","0","0","0","0","0","0","0","0"
"Backwards Down the Number Line","2009-03-06",1182,"31","36","27","14","4","0","0","0","0","0","0","0","0","0","0","0","0"
"Banter","1990-01-20",142,"15","4","10","13","4","1","9","3","2","3","7","0","2","1","3","0","0"
"Bathtub Gin","1989-05-26",102,"40","13","16","6","7","7","13","17","15","19","19","19","26","23","19","6","0"
"Beauty of My Dreams","1997-02-16",846,"28","10","11","0","1","0","1","1","0","0","0","0","0","0","0","0","0"
"Big Ball Jam","1992-11-21",436,"65","24","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Big Black Furry Creature from Mars","1987-08-21",27,"18","13","19","11","9","12","9","8","1","2","2","4","6","2","4","4","0"
"Billy Breathes","1995-09-27",715,"16","20","7","8","3","1","1","3","3","0","0","0","0","0","0","0","0"
"Birds of a Feather","1998-04-02",925,"37","13","12","8","24","16","12","0","0","0","0","0","0","0","0","0","0"
"Blaze On","2015-07-21",1446,"29","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bold As Love","1988-07-11",57,"22","2","0","4","4","5","4","4","6","6","3","4","3","4","3","1","0"
"Boogie On Reggae Woman","1987-02-21",18,"4","0","0","0","0","0","0","0","1","6","13","13","16","17","8","4","1"
"Bouncing Around the Room","1990-01-20",142,"74","59","41","45","34","25","29","21","11","14","15","15","20","14","8","0","0"
"Brian and Robert","1998-06-30",929,"21","7","7","2","2","3","6","0","0","0","0","0","0","0","0","0","0"
"Brother","1991-09-25",305,"39","1","1","0","1","4","2","0","4","3","1","0","1","0","0","0","0"
"Bug","1999-06-30",995,"24","13","7","13","8","10","3","0","0","0","0","0","0","0","0","0","0"
"Buried Alive","1990-09-13",200,"41","21","20","18","9","5","3","5","1","3","2","3","4","3","4","0","0"
"Camel Walk","1984-11-03",2,"16","0","0","0","0","0","0","1","2","2","2","5","9","8","5","4","1"
"Caravan","1990-01-20",142,"26","5","0","5","4","1","1","0","0","0","0","0","0","0","0","0","0"
"Carini","1997-02-17",847,"8","10","13","5","19","19","20","16","0","0","0","0","0","0","0","0","0"
"Carolina","1990-01-20",142,"27","5","7","11","4","3","2","1","2","1","0","0","0","1","1","0","0"
"Cars Trucks Buses","1995-09-27",715,"29","26","6","6","5","2","4","1","1","1","0","0","0","0","0","0","0"
"Cavern","1990-03-28",166,"41","64","40","47","34","29","23","13","17","16","20","26","23","14","7","0","0"
"Chalk Dust Torture","1991-02-01",234,"59","38","45","36","29","32","32","31","24","29","27","33","25","21","0","0","0"
"Character Zero","1996-06-06",774,"36","28","22","20","26","27","28","21","10","0","0","0","0","0","0","0","0"
"Cities","1984-12-01",3,"10","0","0","0","0","0","1","0","7","9","5","8","13","14","9","9","1"
"Cold as Ice","1992-01-14",350,"42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Colonel Forbin's Ascent","1988-03-12",43,"23","9","13","12","14","9","5","4","1","1","1","1","4","1","2","0","0"
"Contact","1988-06-15",52,"31","27","12","8","12","12","8","5","3","4","6","6","3","2","5","4","0"
"Crosseyed and Painless","1996-10-31",816,"5","0","3","4","11","10","7","9","2","0","0","0","0","0","0","0","0"
